name;short_name;streetAddress;department;province;district;area
OJO EN LA CERRADURA;;AV. BRASIL 3781;LIMA;LIMA;MAGDALENA DEL MAR;AMBIENTE / EDUCACIÓN / GÉNERO / INCLUSIÓN SOCIAL
ONAMPITSITE, NOSHANINKAYE, TZINANI;ONOTZI;AV. DANIEL A. CARRION LOTE 86, EDIF. A1 DPTO. 503 PARCELA FUNDO ESTRELLA;LIMA;LIMA;ATE;INCLUSIÓN SOCIAL
ONE TO ONE PERSONAL TEACHING ASOCIACION CULTURAL EDUCATIVA AUSTRALIA PERU;;AV. POESIA 332;LIMA;LIMA;SAN BORJA;EDUCACIÓN
ONG - APOSENTO DEL ORIENTE;APOSENTO DEL ORIENTE;JR. GUILLERMO SISLEY 784;UCAYALI;CORONEL PORTILLO;CALLERIA;EDUCACIÓN / GÉNERO
ONG - APU SALQANTAY;;APV El Vallecito B-14;CUSCO;CUSCO;SAN SEBASTIAN;AMBIENTE / EDUCACIÓN / SALUD / VIVIENDA Y SANEAMIENTO
ONG - ASOCIACION CIVIL VIRGEN DE LA MEDALLA MILAGROSA;ONG-VMM;JR. HUALLAGA 247;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;AGROPECUARIO / AMBIENTE / EDUCACIÓN / GÉNERO
ONG - ASOCIACION DEFENSORA DE LOS ANIMALES Y EL MEDIO AMBIENTE  ADAA;;JR. ABTAO 1245;HUANUCO;HUANUCO;HUANUCO;AMBIENTE / SALUD
ONG - CENTRO DE INVESTIGACION Y DESARROLLO PERUANO;CIDEP;JR. MANUEL ASCENCIO SEGURA 240;HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;AMBIENTE
ONG - GOTAS DE AGUA VIVA;GOTAS DE AGUA VIVA;ASOC. DE PROPIETARIOS CHICMABAMBA MZ. C LOTE 23 A;LIMA;LIMA;SAN MARTIN DE PORRES;AMBIENTE / INCLUSIÓN SOCIAL / JUSTICIA
ONG - SOCIEDAD PERUANA DE AGROECOLOGIA CULTURA Y DESARROLLO INTEGRAL;SPACDI;JR. ANCASH 839, OFICINA 23;JUNIN;HUANCAYO;HUACRAPUQUIO;AMBIENTE
ONG (SUPERACION Y EXITO);;SC2 San Hilarión Etapa 2da. Mz. E Lote 24;LIMA;LIMA;SAN JUAN DE LURIGANCHO;EDUCACIÓN
ONG ACCION PARA EL DESARROLLO;ADES;AV. PASCUAL SACO OLIVEROS 155;LAMBAYEQUE;CHICLAYO;CHICLAYO;AMBIENTE / EDUCACIÓN / GÉNERO / SALUD
ONG ALTERNATIVA SOLIDARIA PARA EL DESARROLLO EN SUDAMERICA;ASDESA;AV. HUANCAVELICA N°920;JUNIN;HUANCAYO;HUANCAYO;GOBERNABILIDAD / JUSTICIA / PRODUCCIÓN / VIVIENDA Y SANEAMIENTO
ONG ALTERNATIVAS INCLUSIVAS Y SOSTENIBLES PARA LA VIDA - ONG AVIDA;ONG     AVIDA;AV. CENTENARIO 943 ;ANCASH;HUARAZ;HUARAZ;AGROPECUARIO / AMBIENTE / GOBERNABILIDAD / INCLUSIÓN SOCIAL / JUSTICIA
ONG AMAZON RESEARCH INTERNACIONAL;;Calle Ramón del Valle Inclán N°135 Urb. COVIMA ;LIMA;LIMA;LA MOLINA;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ONG AMAZON SHELTER FOR ANIMAL AND ENVIRONMENTAL PROTECTION;;Km. 11 Carretera Tambopata – Tambopata ;MADRE DE DIOS;TAMBOPATA;TAMBOPATA;AMBIENTE / CIENCIA Y TECNOLOGÍA / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ONG AMAZON SHELTERED LIFE;-----;CALLE PROLONGACIÓN LAS CAMELIAS S/N, REFERENCIA VILLA PUCAYACU;LORETO;MAYNAS;SAN JUAN BAUTISTA;AMBIENTE / EDUCACIÓN / INCLUSIÓN SOCIAL / SALUD
ONG AMAZONIA LIMPIA SOLUCION AMBIENTAL;ONG AMAZONÍA LIMPIA SOLUCIÓN AMBIENTAL;Jr. Raymondi 148 ;UCAYALI;CORONEL PORTILLO;CALLERIA;AMBIENTE / PRODUCCIÓN
ONG AMBIENTAL AGUAS ES VIDA;;JR. FLOR DE AMANCAES 741;JUNIN;HUANCAYO;EL TAMBO;AMBIENTE
ONG AMOR Y COMPASION;;AV. MIRAFLORES 922;LA LIBERTAD;TRUJILLO;TRUJILLO;EDUCACIÓN / GÉNERO
